,Num,Dnum,ROILDE,ROIHDE,ROILGLE,ROIHGLE,ROILDLGLE,ROILDHGLE,ROIHDLGLE,ROIHDHGLE,ROIdepGLN,ROIdepGLNN,ROIDN,ROIDNN,ROIdepGLV,ROIDV,ROIDEntropy,ROIDEnergy,LLLLDE,LLLHDE,LLLLGLE,LLLHGLE,LLLLDLGLE,LLLLDHGLE,LLLHDLGLE,LLLHDHGLE,LLLdepGLN,LLLdepGLNN,LLLDN,LLLDNN,LLLdepGLV,LLLDV,LLLDEntropy,LLLDEnergy,LLHLDE,LLHHDE,LLHLGLE,LLHHGLE,LLHLDLGLE,LLHLDHGLE,LLHHDLGLE,LLHHDHGLE,LLHdepGLN,LLHdepGLNN,LLHDN,LLHDNN,LLHdepGLV,LLHDV,LLHDEntropy,LLHDEnergy,LHLLDE,LHLHDE,LHLLGLE,LHLHGLE,LHLLDLGLE,LHLLDHGLE,LHLHDLGLE,LHLHDHGLE,LHLdepGLN,LHLdepGLNN,LHLDN,LHLDNN,LHLdepGLV,LHLDV,LHLDEntropy,LHLDEnergy,LHHLDE,LHHHDE,LHHLGLE,LHHHGLE,LHHLDLGLE,LHHLDHGLE,LHHHDLGLE,LHHHDHGLE,LHHdepGLN,LHHdepGLNN,LHHDN,LHHDNN,LHHdepGLV,LHHDV,LHHDEntropy,LHHDEnergy,HLLLDE,HLLHDE,HLLLGLE,HLLHGLE,HLLLDLGLE,HLLLDHGLE,HLLHDLGLE,HLLHDHGLE,HLLdepGLN,HLLdepGLNN,HLLDN,HLLDNN,HLLdepGLV,HLLDV,HLLDEntropy,HLLDEnergy,HLHLDE,HLHHDE,HLHLGLE,HLHHGLE,HLHLDLGLE,HLHLDHGLE,HLHHDLGLE,HLHHDHGLE,HLHdepGLN,HLHdepGLNN,HLHDN,HLHDNN,HLHdepGLV,HLHDV,HLHDEntropy,HLHDEnergy,HHLLDE,HHLHDE,HHLLGLE,HHLHGLE,HHLLDLGLE,HHLLDHGLE,HHLHDLGLE,HHlHDHGLE,HHLdepGLN,HHLdepGLNN,HHLDN,HHLDNN,HHLdepGLV,HHLDV,HHLDEntropy,HHLDEnergy,HHHLDE,HHHHDE,HHHLGLE,HHHHGLE,HHHLDLGLE,HHHLDHGLE,HHHHDLGLE,HHHHDHGLE,HHHdepGLN,HHHdepGLNN,HHHDN,HHHDNN,HHHdepGLV,HHHDV,HHHDEntropy,HHHDEnergy
0,1,1,0.582467,4.270886,0.001123,4336.735443,0.000977,2707.478722,0.002243,16640.677215,25.260759,0.015988,555.296203,0.351453,411.792246,0.980566,7.69896,0.005751,0.555876,5.160759,0.001191,4173.63038,0.000985,2513.336109,0.002953,19424.998734,24.240506,0.015342,519.624051,0.328876,442.585635,1.409918,7.86143,0.005197,0.641273,3.507937,0.001205,4709.906667,0.001062,3041.84498,0.002033,16353.294603,26.851429,0.017049,644.175873,0.409001,363.371995,0.784913,7.485531,0.006981,0.680709,3.133164,0.002557,4752.688649,0.002455,3270.431524,0.003165,14609.458465,26.771718,0.016976,699.711477,0.443698,397.69303,0.674015,7.41747,0.007472,0.729576,2.618628,0.001777,4615.02769,0.001688,3421.64989,0.00228,11497.487099,25.599119,0.01611,800.092511,0.50352,429.532144,0.518044,7.325979,0.007765,0.700247,2.942565,0.001601,4466.703255,0.001515,3153.773576,0.002133,12983.624761,27.016592,0.017241,730.712827,0.466313,352.876625,0.626031,7.2997,0.007901,0.761837,2.370558,0.002799,4384.652284,0.002488,3395.772988,0.004164,10030.39467,24.790609,0.01573,857.173858,0.543892,407.333209,0.446634,7.246263,0.008245,0.748732,2.470812,0.002606,4674.437183,0.00252,3559.980786,0.003069,11177.075508,25.484772,0.016171,829.84264,0.52655,380.279567,0.475835,7.217376,0.008376,0.801189,2.000633,0.001708,4616.00506,0.001636,3805.677859,0.002049,8747.106894,23.969007,0.015161,947.595825,0.599365,407.188142,0.304542,7.136712,0.008837
1,2,3,0.538945,5.269597,0.000693,4170.23688,0.000385,2473.902174,0.003036,18288.84789,387.668897,0.015081,8075.864034,0.314175,444.631682,1.35765,8.204222,0.004513,0.458755,7.865743,0.00044,4475.746632,0.000246,2290.716897,0.003064,27877.367144,401.484931,0.015633,6494.381746,0.252877,401.642065,2.34154,8.436038,0.003792,0.651737,3.442812,0.001211,4570.830956,0.00105,2996.229201,0.002121,15566.553124,421.454847,0.016469,10669.176312,0.416911,376.51865,0.781111,7.736997,0.006283,0.625164,3.908496,0.001463,4542.429826,0.001305,2865.068747,0.002441,17394.458187,497.713278,0.019605,9844.986292,0.387796,316.861406,0.953163,7.631972,0.006783,0.684849,3.096815,0.000758,4457.051396,0.000653,3105.374605,0.001409,13363.90409,475.66339,0.018705,11431.394967,0.449524,305.035462,0.673363,7.445291,0.007589,0.663322,3.344131,0.001012,4544.403705,0.000822,3045.483891,0.002057,14894.953312,434.9096,0.017035,10907.974972,0.427244,360.962512,0.757314,7.662376,0.006636,0.714714,2.785367,0.00086,4509.831556,0.000746,3273.92429,0.001492,12184.293679,428.226631,0.016791,12335.119668,0.483654,350.967341,0.572851,7.479042,0.007421,0.711774,2.786624,0.000867,4517.727814,0.000748,3276.787896,0.001508,12126.045802,418.829095,0.01641,12274.169847,0.480906,356.509866,0.567256,7.505926,0.00723,0.742417,2.492787,0.001095,4522.674303,0.001017,3421.634369,0.001528,10874.936706,407.011103,0.015912,13263.196255,0.518519,369.610278,0.470963,7.425152,0.007566
2,3,4,0.66411,3.167105,0.001702,4701.353618,0.001467,3130.975976,0.00285,14766.768092,47.348684,0.015575,1312.816447,0.431848,388.104786,0.659466,7.591248,0.006578,0.601887,3.940362,0.001467,4649.465239,0.00128,2798.018428,0.002575,18042.053707,46.901812,0.015454,1128.538715,0.371841,385.827056,0.885066,7.784175,0.005673,0.708514,2.774861,0.001582,4570.647194,0.001487,3241.029725,0.002115,12776.358385,49.147686,0.01613,1458.251067,0.478586,385.699505,0.553812,7.448745,0.007457,0.710111,2.678206,0.000867,4482.545005,0.000758,3232.552298,0.00145,11650.436861,47.963403,0.015814,1462.271348,0.48212,368.504743,0.501292,7.450595,0.007406,0.744248,2.43196,0.001152,4540.080725,0.001074,3429.453915,0.001568,10706.888633,48.744316,0.016061,1586.566392,0.522757,371.346832,0.442327,7.312844,0.007948,0.742016,2.638633,0.001193,4600.403417,0.001117,3441.032773,0.001652,11949.710907,47.085414,0.015468,1569.69908,0.51567,383.428511,0.556851,7.406535,0.007533,0.762854,2.293115,0.001423,4527.466557,0.001356,3501.767206,0.001784,10039.332131,47.39082,0.015538,1666.56,0.546413,401.489286,0.402264,7.318224,0.007959,0.770282,2.308246,0.001586,4576.89038,0.001518,3580.028914,0.001966,10146.249018,46.13089,0.015095,1694.477749,0.554476,396.480873,0.424813,7.317325,0.008028,0.779103,2.157068,0.00091,4527.507199,0.000842,3572.487258,0.001251,9477.282068,46.109948,0.015088,1736.884162,0.568352,410.622005,0.355359,7.288559,0.008083
3,4,5,0.526099,5.107383,0.000587,4055.114597,0.000364,2357.358243,0.002465,17989.006376,206.511745,0.017325,3708.776342,0.311139,342.032193,1.206758,7.96214,0.005209,0.433092,7.291485,0.000527,4295.616829,0.0003,2156.065106,0.002901,26295.416359,208.037378,0.017435,2971.848642,0.249065,333.541061,1.828774,8.204278,0.004294,0.642555,3.502472,0.000969,4601.095282,0.000837,2986.219031,0.001764,15785.090924,211.554261,0.017729,4864.155284,0.407622,340.210306,0.778437,7.643706,0.00663,0.620829,3.975208,0.001276,4528.94302,0.001175,2834.407968,0.002024,17805.16119,251.479704,0.021135,4560.465669,0.383265,267.527382,0.974822,7.518626,0.007303,0.683116,3.074553,0.001138,4427.455881,0.000905,3082.622264,0.002274,13159.170431,233.030224,0.019564,5340.763412,0.448389,293.400978,0.655119,7.371492,0.007935,0.678425,3.136618,0.001124,4551.473904,0.000904,3134.692422,0.00231,13952.038914,199.595741,0.016668,5311.908559,0.443583,360.914495,0.680036,7.603919,0.006811,0.725278,2.66074,0.001034,4489.832874,0.000953,3283.792989,0.001499,11753.294599,196.090408,0.01637,5952.765089,0.496933,356.091101,0.527272,7.440682,0.007497,0.712559,2.775182,0.000991,4540.898857,0.000771,3289.115659,0.002028,12207.112159,195.052074,0.016277,5772.952266,0.481762,359.635533,0.561957,7.484,0.007225,0.749539,2.434217,0.001147,4521.123895,0.001076,3440.608152,0.001535,10697.030015,191.554611,0.015971,6334.654661,0.528152,365.701658,0.455403,7.366717,0.007763
4,5,6,0.526694,5.055883,0.000852,5252.68476,0.000586,2578.488393,0.002562,29382.039276,508.876872,0.013832,11555.053002,0.314073,466.392581,1.195226,8.223673,0.004302,0.473865,6.089279,0.000844,5854.554119,0.000506,2523.613969,0.003115,40417.115164,477.113046,0.012959,10268.226553,0.278899,523.301443,1.478632,8.447746,0.003677,0.656301,3.237219,0.000921,4523.66998,0.000771,3018.82995,0.001781,14180.843074,578.385296,0.015796,15536.705484,0.424315,381.290796,0.674211,7.73957,0.006255,0.659175,3.268425,0.000709,4495.148881,0.000582,3002.701461,0.001456,14339.099803,620.319423,0.017008,15536.904913,0.425995,324.12541,0.702912,7.625164,0.006739,0.735915,2.540596,0.000812,4528.624874,0.000718,3384.773818,0.001316,11139.407024,568.725264,0.015532,18705.276538,0.510836,374.543039,0.484536,7.475873,0.007341,0.664226,3.206851,0.001043,4519.112743,0.000877,3045.358061,0.001958,14127.767224,606.504138,0.016621,15730.558893,0.431092,354.163116,0.680938,7.652375,0.006625,0.723232,2.656844,0.000894,4518.093225,0.000811,3311.734697,0.001369,11658.351372,602.862957,0.01651,18056.523963,0.49451,349.413012,0.519037,7.4583,0.007512,0.727657,2.621046,0.000907,4557.455885,0.00082,3360.551391,0.001398,11613.581857,559.716535,0.015275,18354.280736,0.500895,383.011649,0.51311,7.527464,0.007093,0.747578,2.444229,0.000911,4535.273817,0.000838,3438.261124,0.001319,10778.196461,564.578844,0.015416,19238.220872,0.525304,374.948086,0.455007,7.434546,0.00748
5,6,7,0.574812,4.352091,0.000693,4337.390681,0.000544,2666.479488,0.001889,16697.476822,288.50693,0.017235,5820.859498,0.347722,339.404618,1.007606,7.865594,0.005688,0.503564,5.812041,0.00054,4300.725437,0.00031,2360.915769,0.002463,21404.692349,287.39312,0.017165,4946.511677,0.295438,334.185905,1.514523,8.082062,0.004858,0.664301,3.216834,0.001022,4570.792458,0.000778,3050.133897,0.002261,14562.081432,279.730804,0.016664,7226.051647,0.430455,360.215108,0.685765,7.65445,0.006684,0.676706,3.148108,0.00121,4563.533214,0.001071,3099.228779,0.002014,14258.074412,277.658803,0.016542,7405.023831,0.441169,361.303762,0.677865,7.632538,0.00675,0.738752,2.499673,0.000885,4529.091201,0.000786,3389.940512,0.001402,10982.064965,260.878636,0.01552,8660.078232,0.515205,377.987962,0.469018,7.459616,0.007418,0.65225,3.464501,0.000841,4517.156887,0.000693,2980.124478,0.00177,15387.428674,297.609127,0.017801,6954.514325,0.415965,319.784879,0.790605,7.617521,0.006806,0.71875,2.706815,0.000961,4492.857895,0.00088,3286.352662,0.001428,11812.256088,292.418656,0.017496,8181.812302,0.489548,324.642409,0.539068,7.390107,0.007846,0.721043,2.676036,0.000946,4544.037041,0.000834,3324.24625,0.001537,11837.983683,269.462601,0.016047,8273.853621,0.492726,373.117274,0.528115,7.497298,0.007292,0.740593,2.500925,0.001112,4528.104277,0.000944,3393.895262,0.001901,11062.717771,274.490425,0.016375,8649.662292,0.515997,351.766661,0.470006,7.392567,0.007783
6,7,8,0.533585,4.91589,0.000715,4612.406333,0.000469,2472.421728,0.002562,22283.171266,994.343016,0.013347,23840.149695,0.320011,439.003184,1.156046,8.275714,0.004245,0.463081,6.360928,0.000779,4622.308654,0.000426,2165.640733,0.003719,28124.64578,997.417174,0.013383,20335.825252,0.272854,441.128962,1.571332,8.488476,0.003645,0.666955,3.165908,0.000966,4579.654006,0.000814,3083.407175,0.001818,14291.068939,1134.270041,0.01536,32031.022452,0.433743,386.928419,0.66385,7.751397,0.006225,0.673187,3.137559,0.000965,4530.294755,0.000827,3093.590698,0.001745,13804.155378,1174.980376,0.015946,32413.76656,0.439896,365.165012,0.668329,7.68352,0.006499,0.729858,2.586375,0.000836,4536.304639,0.000742,3359.572005,0.001346,11397.751297,1138.527677,0.01542,37166.04013,0.503366,382.828158,0.496572,7.517048,0.007169,0.686463,3.032167,0.001011,4540.624771,0.000822,3166.686685,0.001976,13356.733683,1134.355229,0.01537,33406.64996,0.452646,383.089685,0.64341,7.682134,0.006439,0.721881,2.642494,0.00085,4523.664009,0.000761,3319.026697,0.001348,11586.471428,1159.198614,0.015716,36447.333076,0.494127,372.24734,0.509392,7.514271,0.007158,0.723011,2.663968,0.000742,4543.526886,0.000637,3331.158151,0.001309,11774.694374,1119.950236,0.015162,36553.397412,0.494848,385.190674,0.525456,7.56196,0.006949,0.751346,2.403653,0.000912,4545.045325,0.000832,3467.104759,0.00134,10593.389068,1122.0959,0.015182,39220.383818,0.530651,385.023965,0.440697,7.447503,0.007446
7,8,9,0.669043,3.052303,0.000623,4622.262406,0.000496,3045.184484,0.001401,14378.366298,145.380757,0.012976,4933.650482,0.440347,458.281117,0.613197,7.825796,0.005735,0.608287,3.703552,0.000682,4696.0398,0.000495,2850.92542,0.001819,17493.16277,146.161521,0.013043,4274.285383,0.381428,462.845576,0.781362,8.0263,0.004976,0.715665,2.652984,0.000791,4606.292167,0.000636,3346.698831,0.001553,11965.228715,154.200036,0.01382,5458.177989,0.489172,428.647521,0.504256,7.639589,0.006509,0.724385,2.634453,0.000895,4571.105892,0.000754,3341.257017,0.001607,11892.186007,157.584336,0.014153,5538.560445,0.497446,422.202554,0.513236,7.610975,0.006705,0.749449,2.380173,0.00078,4546.537603,0.000702,3453.813325,0.001192,10557.720043,162.126125,0.014585,5881.013674,0.529058,403.699896,0.422288,7.464276,0.007292,0.707515,2.774432,0.001314,4570.490984,0.001196,3274.707828,0.001956,12421.70916,168.705373,0.01521,5298.161558,0.477656,389.024136,0.55086,7.579276,0.006818,0.754789,2.377826,0.000974,4569.100423,0.000902,3491.037618,0.001372,10509.207061,164.819869,0.014845,5939.957759,0.534987,397.334359,0.432727,7.44246,0.007425,0.744623,2.401329,0.001156,4562.799695,0.00093,3437.642335,0.002175,10709.636111,161.456096,0.014496,5829.978991,0.523431,408.986779,0.4245,7.480167,0.007188,0.76682,2.279381,0.000872,4542.489255,0.000802,3540.449344,0.001243,10020.335491,163.856937,0.014734,6124.678806,0.550731,407.20479,0.400207,7.404996,0.007572
8,9,10,0.565273,4.62863,0.000406,4363.714454,0.000233,2742.402078,0.001835,16649.981892,323.466838,0.017329,6308.658738,0.337976,357.189338,1.123594,7.872578,0.005644,0.517499,5.384137,0.00047,3977.199796,0.000265,2350.867209,0.002563,16811.978802,304.586777,0.016346,5710.657078,0.306464,385.920493,1.341521,8.059695,0.004966,0.655388,3.329756,0.00106,4659.266912,0.00093,3047.292855,0.001814,15512.233755,301.627369,0.016105,7879.929041,0.420734,381.733968,0.721589,7.723299,0.006261,0.689676,3.036037,0.001152,4602.029674,0.001017,3200.306656,0.001894,13731.22467,306.692242,0.016398,8500.936588,0.454523,364.063531,0.6492,7.592208,0.006824,0.730438,2.620841,0.000935,4494.583075,0.000674,3339.600336,0.002123,11371.365679,302.355087,0.016174,9409.780464,0.503358,362.735646,0.519008,7.457962,0.007496,0.669473,3.259321,0.00108,4570.595293,0.000935,3098.07472,0.001906,14610.273924,314.469591,0.016821,8110.103183,0.433811,356.713938,0.724421,7.636887,0.006666,0.706917,2.815353,0.000727,4463.06832,0.000641,3209.579129,0.001229,12226.039773,325.171923,0.017383,8897.129905,0.47563,330.157998,0.570963,7.439819,0.007548,0.708649,2.823026,0.000849,4506.950621,0.000762,3245.564941,0.001371,12336.776535,310.441044,0.016608,8918.790499,0.477145,344.02937,0.579762,7.485578,0.007281,0.721969,2.675436,0.000704,4475.720992,0.000628,3278.627679,0.001149,11681.617902,328.632446,0.017572,9225.411721,0.493285,318.291656,0.527711,7.356237,0.007935
9,10,11,0.515791,5.651385,0.000542,4591.786198,0.000325,2464.523062,0.002796,23713.895412,1202.688411,0.013409,27132.130676,0.302493,439.91744,1.490822,8.3854,0.004062,0.43937,7.584658,0.000461,4614.502256,0.000206,2098.738003,0.004028,31629.856342,1207.084408,0.013449,22805.930956,0.254091,444.07537,2.116653,8.630444,0.003441,0.656938,3.296285,0.000985,4573.197808,0.000796,3027.67824,0.002006,14886.214803,1395.269548,0.015714,37589.582478,0.423339,381.609131,0.709684,7.76201,0.006169,0.662622,3.328811,0.000812,4537.101898,0.00067,3039.382853,0.001645,14761.921186,1469.838278,0.016575,37871.868094,0.427077,351.491824,0.745961,7.685065,0.006473,0.716883,2.740698,0.000842,4534.413551,0.00075,3304.577845,0.001366,12030.61187,1417.331666,0.015971,43227.56753,0.487093,369.240251,0.554768,7.528794,0.007106,0.670815,3.25007,0.000963,4556.327381,0.00083,3090.798546,0.001735,14517.014771,1410.940736,0.015885,38718.954786,0.435911,372.438508,0.728538,7.712484,0.006366,0.724297,2.678318,0.000894,4529.230984,0.000804,3332.876592,0.001404,11733.133927,1405.585771,0.015848,43985.882332,0.495951,369.223883,0.537337,7.513378,0.007205,0.70798,2.882631,0.000896,4520.62654,0.000795,3256.518896,0.001487,12577.377383,1427.223575,0.016091,42159.887919,0.475336,364.381783,0.613565,7.564766,0.006978,0.744985,2.49679,0.000849,4534.145724,0.000772,3429.461052,0.001284,10956.490957,1394.272371,0.015702,46306.436969,0.521481,372.104308,0.47998,7.443749,0.007496
10,11,12,0.523743,5.094685,0.000663,4597.736359,0.000427,2426.149462,0.002324,23273.148583,330.613958,0.013718,7503.423717,0.311332,408.277663,1.19676,8.245891,0.00424,0.456887,6.332975,0.000845,4600.592465,0.000545,2088.575397,0.003298,29471.294144,324.24084,0.013408,6557.098007,0.271156,424.729631,1.510499,8.455004,0.003666,0.632136,3.580276,0.001013,4522.271166,0.00072,2900.284655,0.002483,15879.594944,398.509319,0.016653,9531.782449,0.398319,353.197269,0.788179,7.75749,0.006176,0.613825,3.905971,0.001058,4552.053995,0.000863,2826.845385,0.002165,17484.690917,475.308326,0.019988,9020.500084,0.379331,283.778056,0.90687,7.597427,0.006856,0.689955,3.032273,0.00095,4465.297246,0.000853,3128.140178,0.001541,13125.090197,434.017226,0.018191,10859.01534,0.455133,316.612378,0.649799,7.463888,0.007528,0.654809,3.371682,0.000933,4495.121201,0.000788,2978.332856,0.001771,14801.395001,415.025705,0.017375,10033.891233,0.420074,332.256874,0.746376,7.633543,0.006713,0.705356,2.895032,0.000889,4485.710145,0.000805,3217.671272,0.001409,12608.643378,419.90341,0.017588,11278.412666,0.472414,324.773889,0.612875,7.450563,0.00755,0.687697,3.049547,0.000757,4473.587567,0.000635,3131.9695,0.001451,13191.142145,434.683182,0.018221,10796.402079,0.452565,316.219236,0.652865,7.456371,0.007487,0.716343,2.742767,0.000842,4453.816245,0.000748,3248.732205,0.001369,11819.717773,424.05112,0.017754,11611.817082,0.486155,315.386814,0.552962,7.370354,0.007863
11,12,14,0.55289,5.221068,0.00175,3506.252069,0.001001,2205.795372,0.007236,15291.364876,125.638208,0.020393,1970.369258,0.319813,393.314851,1.377279,7.830186,0.005865,0.462613,8.929637,0.00186,3808.853113,0.000637,2095.089562,0.014682,27722.540532,130.462387,0.021151,1478.448119,0.239697,394.300142,2.818289,8.149917,0.004579,0.652297,3.591531,0.001699,4605.940717,0.001351,3059.84381,0.003381,15985.654723,128.90456,0.020994,2530.045603,0.41206,297.065987,0.8545,7.417722,0.00776,0.608134,4.32105,0.000718,4485.330996,0.000611,2842.868139,0.001608,17970.42149,139.482635,0.022743,2257.183923,0.368039,273.420467,1.118742,7.485126,0.007435,0.682337,3.150752,0.000893,4414.213702,0.000805,3054.84193,0.00146,13646.117233,129.646501,0.021198,2729.296272,0.446255,264.524192,0.696171,7.267313,0.008597,0.614655,4.101914,0.001214,4403.087355,0.001108,2774.828073,0.002024,17384.422215,145.579421,0.023815,2291.772452,0.374901,257.037796,1.01,7.381389,0.007915,0.723894,2.700309,0.000967,4539.346985,0.00088,3339.45163,0.001466,11868.523322,112.136681,0.018225,3043.752478,0.494678,322.435098,0.547004,7.302664,0.008263,0.707337,2.839974,0.000977,4487.76549,0.000897,3241.128502,0.001464,12277.746625,115.617661,0.018803,2926.75866,0.475973,309.296286,0.589242,7.317339,0.008179,0.73603,2.574647,0.000848,4522.997244,0.000773,3390.782714,0.001291,11171.769817,103.559896,0.016787,3148.783109,0.51042,341.526948,0.504948,7.341682,0.007908
12,13,15,0.662878,3.237498,0.001206,4033.203028,0.001001,2761.400128,0.002427,12250.67902,71.547121,0.014255,2152.162383,0.428803,452.40032,0.692395,7.776508,0.005928,0.571512,4.498906,0.001103,4442.745675,0.000918,2635.08397,0.002422,19120.713064,75.665739,0.015046,1730.72758,0.344149,407.805726,1.079827,8.00093,0.004963,0.746198,2.430855,0.001287,4571.038769,0.001206,3440.573685,0.001719,10851.34972,76.858114,0.015359,2624.071543,0.524395,385.745198,0.444806,7.399493,0.007621,0.673708,3.190916,0.001219,4604.383441,0.001097,3133.114154,0.001922,14464.202974,92.866158,0.018663,2184.022508,0.438911,346.348862,0.699645,7.452849,0.007555,0.725668,2.665859,0.00186,4449.899798,0.001227,3272.198485,0.005424,11637.415758,90.711515,0.018326,2455.491313,0.496059,312.369603,0.526583,7.272479,0.00836,0.699425,2.937462,0.000938,4551.215655,0.000858,3235.011487,0.001447,13015.208392,95.762558,0.019319,2305.028243,0.465005,281.593714,0.617018,7.312492,0.008248,0.768852,2.261575,0.000976,4484.837442,0.000909,3506.957992,0.001331,9804.734015,77.620565,0.015558,2761.402085,0.553498,367.823588,0.39451,7.280115,0.008063,0.75454,2.434922,0.001081,4479.945134,0.000923,3424.523527,0.001837,10616.544654,79.682419,0.015956,2665.068883,0.533654,365.829834,0.46684,7.342857,0.007949,0.787524,2.117717,0.001272,4496.26676,0.001212,3568.129426,0.001584,9314.169393,74.481245,0.014861,2905.486832,0.579706,391.757956,0.348796,7.296107,0.008129
13,14,16,0.615793,3.890541,0.001585,4452.763682,0.000976,2732.913054,0.006214,17464.068412,83.464189,0.014099,2253.788851,0.380708,458.630438,0.904416,7.956016,0.005279,0.570616,4.362162,0.001565,4640.613176,0.001187,2588.478929,0.004321,21205.164865,85.313514,0.014411,2066.259797,0.34903,443.937167,1.017959,8.019636,0.004933,0.724901,2.575303,0.000677,4572.064984,0.000582,3357.396629,0.001185,11536.808972,88.960089,0.015173,2934.855364,0.500572,389.088568,0.48483,7.485406,0.007202,0.725003,2.644224,0.000747,4440.183014,0.00066,3281.331768,0.001239,11335.078776,92.541012,0.015814,2905.676692,0.496527,356.575541,0.515577,7.42807,0.007326,0.764168,2.294158,0.001171,4521.655255,0.001099,3500.527695,0.001551,10083.621189,90.542156,0.015422,3215.025549,0.547611,372.943743,0.404294,7.336162,0.007943,0.736109,2.481064,0.00077,4542.237632,0.000695,3361.530814,0.001179,11127.929887,92.105084,0.015712,3001.819857,0.512081,369.390598,0.449151,7.401199,0.007592,0.768074,2.333788,0.000879,4576.803955,0.000814,3567.643459,0.001248,10326.424821,90.96386,0.015507,3235.495738,0.551568,373.58284,0.436477,7.329058,0.007984,0.743236,2.479583,0.000813,4564.574577,0.000743,3431.817939,0.001206,11072.345635,97.185204,0.016604,3038.108833,0.519069,345.968876,0.462339,7.335663,0.007987,0.746533,2.446968,0.000644,4488.795559,0.000569,3434.130791,0.001059,10504.745346,98.284372,0.016786,3062.131682,0.522994,330.34101,0.449489,7.299816,0.008179
14,15,17,0.652475,3.257376,0.000598,4055.01742,0.000465,2795.875768,0.001439,11990.432674,106.544884,0.016721,2681.421532,0.420813,370.706508,0.673819,7.600154,0.006696,0.604128,4.00393,0.000629,3933.590945,0.000465,2569.969791,0.001857,13735.09291,110.117434,0.017311,2360.072787,0.371022,367.993504,0.926418,7.751603,0.006133,0.727419,2.548165,0.001152,4489.532084,0.000996,3295.194142,0.0019,11296.855425,106.548478,0.016635,3216.463544,0.50218,340.583298,0.469256,7.361062,0.007859,0.720551,2.678843,0.00088,4442.085652,0.000773,3261.201259,0.001458,11530.162133,108.739468,0.016903,3169.95663,0.492765,322.393477,0.529586,7.376663,0.007838,0.749389,2.394733,0.000998,4533.970235,0.00089,3445.57624,0.001532,10571.949042,103.17516,0.016078,3390.9813,0.528437,354.429341,0.430716,7.330388,0.007998,0.72025,2.618573,0.000752,4508.018386,0.000651,3285.602687,0.001286,11575.162044,104.22842,0.01624,3168.91368,0.493754,342.76205,0.494373,7.410604,0.007585,0.772919,2.226268,0.000983,4617.909275,0.00092,3611.191009,0.001315,10028.633831,95.953003,0.014932,3592.324619,0.55903,380.255869,0.381474,7.324493,0.007881,0.754861,2.353649,0.000806,4502.071105,0.000734,3440.547065,0.001188,10330.163932,102.540553,0.016024,3428.678075,0.535815,335.61978,0.419641,7.290945,0.008125,0.743904,2.49142,0.00066,4470.508424,0.000587,3393.408828,0.001079,10681.302808,103.119189,0.016087,3334.449298,0.520195,340.711694,0.474222,7.345571,0.007859
15,16,18,0.631479,3.473684,0.000569,4620.751547,0.000427,2906.793854,0.001513,16321.953126,276.463596,0.013156,8456.268202,0.402411,446.161334,0.736261,7.941343,0.005291,0.561658,4.431262,0.000683,4594.394978,0.000372,2535.240569,0.002997,21092.550953,276.655238,0.013156,7163.39203,0.340643,446.677278,1.00606,8.171177,0.004555,0.717255,2.744057,0.000717,4517.343604,0.000613,3274.421689,0.001292,12084.141617,338.083369,0.016302,10101.638507,0.487084,347.474786,0.556613,7.493607,0.007357,0.719285,2.670327,0.000596,4535.131754,0.000506,3307.168621,0.001106,11802.456681,310.901808,0.014906,10231.859759,0.490572,390.721828,0.518268,7.581206,0.006868,0.740656,2.47037,0.000782,4480.486738,0.000696,3370.699531,0.001246,10725.20594,336.032302,0.016176,10744.480383,0.517233,350.483179,0.45406,7.387809,0.007757,0.720323,2.681628,0.00087,4537.393788,0.000777,3332.936791,0.001398,11707.720801,314.827277,0.015113,10251.534588,0.492129,387.389476,0.52955,7.569522,0.006948,0.753361,2.410526,0.000886,4543.59428,0.000795,3464.828114,0.001366,10626.738428,321.494689,0.015453,11076.741504,0.532408,374.792594,0.447564,7.405306,0.007603,0.741867,2.458769,0.000873,4561.152731,0.00079,3434.756905,0.001313,10909.252856,315.503312,0.015144,10807.641547,0.51875,384.757453,0.450578,7.459824,0.007314,0.762928,2.323176,0.000771,4533.025521,0.000695,3499.236421,0.001172,10252.973902,319.927809,0.015377,11344.555993,0.545254,376.829421,0.417752,7.380746,0.007758
