,Num,Dnum,ROILDE,ROIHDE,ROILGLE,ROIHGLE,ROILDLGLE,ROILDHGLE,ROIHDLGLE,ROIHDHGLE,ROIdepGLN,ROIdepGLNN,ROIDN,ROIDNN,ROIdepGLV,ROIDV,ROIDEntropy,ROIDEnergy,LLLLDE,LLLHDE,LLLLGLE,LLLHGLE,LLLLDLGLE,LLLLDHGLE,LLLHDLGLE,LLLHDHGLE,LLLdepGLN,LLLdepGLNN,LLLDN,LLLDNN,LLLdepGLV,LLLDV,LLLDEntropy,LLLDEnergy,LLHLDE,LLHHDE,LLHLGLE,LLHHGLE,LLHLDLGLE,LLHLDHGLE,LLHHDLGLE,LLHHDHGLE,LLHdepGLN,LLHdepGLNN,LLHDN,LLHDNN,LLHdepGLV,LLHDV,LLHDEntropy,LLHDEnergy,LHLLDE,LHLHDE,LHLLGLE,LHLHGLE,LHLLDLGLE,LHLLDHGLE,LHLHDLGLE,LHLHDHGLE,LHLdepGLN,LHLdepGLNN,LHLDN,LHLDNN,LHLdepGLV,LHLDV,LHLDEntropy,LHLDEnergy,LHHLDE,LHHHDE,LHHLGLE,LHHHGLE,LHHLDLGLE,LHHLDHGLE,LHHHDLGLE,LHHHDHGLE,LHHdepGLN,LHHdepGLNN,LHHDN,LHHDNN,LHHdepGLV,LHHDV,LHHDEntropy,LHHDEnergy,HLLLDE,HLLHDE,HLLLGLE,HLLHGLE,HLLLDLGLE,HLLLDHGLE,HLLHDLGLE,HLLHDHGLE,HLLdepGLN,HLLdepGLNN,HLLDN,HLLDNN,HLLdepGLV,HLLDV,HLLDEntropy,HLLDEnergy,HLHLDE,HLHHDE,HLHLGLE,HLHHGLE,HLHLDLGLE,HLHLDHGLE,HLHHDLGLE,HLHHDHGLE,HLHdepGLN,HLHdepGLNN,HLHDN,HLHDNN,HLHdepGLV,HLHDV,HLHDEntropy,HLHDEnergy,HHLLDE,HHLHDE,HHLLGLE,HHLHGLE,HHLLDLGLE,HHLLDHGLE,HHLHDLGLE,HHlHDHGLE,HHLdepGLN,HHLdepGLNN,HHLDN,HHLDNN,HHLdepGLV,HHLDV,HHLDEntropy,HHLDEnergy,HHHLDE,HHHHDE,HHHLGLE,HHHHGLE,HHHLDLGLE,HHHLDHGLE,HHHHDLGLE,HHHHDHGLE,HHHdepGLN,HHHdepGLNN,HHHDN,HHHDNN,HHHdepGLV,HHHDV,HHHDEntropy,HHHDEnergy
0,1,1,0.362788,9.356,0.002312,1294.9944,0.001474,420.410546,0.010819,13198.0128,68.4976,0.027399,541.9592,0.216784,118.998268,2.361033,7.659605,0.006107,0.360959,9.074549,0.002769,1681.178758,0.002109,496.303218,0.008688,18115.003206,58.623246,0.023496,538.894188,0.21599,151.538064,2.151007,7.748255,0.00557,0.35526,9.112097,0.003312,1263.291935,0.00149,429.285134,0.017564,12071.059677,72.003226,0.029034,543.870968,0.219303,110.251329,2.183314,7.583504,0.006605,0.445668,7.52024,0.002695,1153.157114,0.00123,523.539032,0.013903,8383.608417,68.766733,0.027562,628.685772,0.251978,107.833619,2.047079,7.444851,0.007029,0.474238,6.636071,0.002782,1118.532609,0.001997,538.934754,0.009844,7267.666264,78.388084,0.031557,680.879227,0.274106,95.125116,1.783309,7.217238,0.008417,0.423093,7.447761,0.001974,1117.767648,0.001212,504.998776,0.00986,7617.247277,80.047196,0.03229,622.004437,0.250909,95.161284,1.90752,7.285391,0.007934,0.539113,4.86704,0.00259,1151.19183,0.00195,651.89248,0.007477,5225.098118,69.905086,0.027996,804.360032,0.322131,105.238001,1.145556,7.084592,0.008827,0.496997,5.99879,0.004145,1154.155305,0.002437,583.227444,0.014888,6855.617991,76.966115,0.031047,710.506253,0.28661,98.075729,1.546162,7.15794,0.008554,0.541331,4.671642,0.002877,1145.481646,0.002269,631.720259,0.007239,5171.471158,74.956434,0.030237,812.947559,0.327934,95.998707,1.051057,6.947648,0.009646
1,2,3,0.277515,12.902925,0.003329,1250.390161,0.001223,312.096012,0.031825,17730.599187,703.94999,0.027269,4759.105288,0.184354,114.244516,3.192633,8.022358,0.005114,0.217283,17.424435,0.003195,1292.760068,0.001029,248.981881,0.031928,24897.115353,691.549556,0.026805,4116.987131,0.159579,116.814306,4.344545,8.263284,0.004317,0.287394,11.901107,0.001688,1158.854797,0.000567,348.440183,0.017131,13112.658871,714.891505,0.027681,4973.444513,0.192575,107.032309,2.859706,7.961612,0.005236,0.416351,7.643926,0.002241,1162.456894,0.001266,500.44781,0.011546,8519.942811,750.794942,0.02917,6289.533976,0.244358,102.373729,1.931679,7.553507,0.006807,0.468281,6.503904,0.002417,1155.11446,0.001611,560.262647,0.009307,7212.018348,790.2906,0.030851,6958.250781,0.271637,95.451338,1.673381,7.341661,0.007868,0.404049,8.021485,0.00258,1156.032423,0.00145,475.379989,0.012831,9003.668652,767.879963,0.029888,6111.100187,0.23786,99.258654,2.037547,7.567234,0.006782,0.4656,6.601919,0.002483,1150.786257,0.001725,552.470305,0.009387,7301.635846,810.770776,0.031618,6859.904574,0.267516,93.936691,1.68329,7.323538,0.007939,0.466089,6.408203,0.002533,1158.67157,0.0016,554.760745,0.010227,7199.383143,758.006927,0.029497,6928.887462,0.269627,100.64773,1.579428,7.386854,0.007515,0.513406,5.70109,0.002524,1151.867789,0.001887,608.56935,0.007959,6320.896497,798.819162,0.0312,7643.204976,0.298528,94.212115,1.482424,7.184157,0.008687
2,3,4,0.468605,5.959752,0.002421,1186.432817,0.001475,570.14197,0.009946,7085.671207,80.473065,0.024914,911.974613,0.282345,126.65821,1.40688,7.418764,0.007223,0.417192,7.156376,0.00192,1174.014583,0.001138,499.692059,0.009784,8273.83959,86.02265,0.02669,828.944772,0.257197,109.044362,1.762971,7.44188,0.007207,0.496298,5.341843,0.003248,1218.737547,0.002392,600.640242,0.013242,6459.281133,90.179328,0.028076,968.495641,0.301524,107.245886,1.223926,7.210584,0.008431,0.577038,4.430348,0.002693,1160.683769,0.002047,679.80631,0.007069,4926.918221,94.526119,0.029392,1128.728856,0.350973,104.090146,1.082905,6.970445,0.009801,0.594925,4.061697,0.003046,1176.716881,0.002536,719.991405,0.006522,4585.638271,100.555904,0.031493,1165.355778,0.364972,92.960788,0.927256,6.814918,0.011083,0.553411,4.639201,0.002383,1189.619538,0.001671,674.511796,0.007295,5231.806804,96.71598,0.030186,1068.990637,0.333643,101.752202,1.087788,6.993285,0.009773,0.610472,3.813166,0.002753,1124.499373,0.0023,703.396527,0.005911,4095.078056,99.184953,0.031092,1204.223197,0.377499,90.866795,0.836189,6.747009,0.011245,0.572773,4.425,0.003346,1127.151563,0.002719,669.576157,0.007997,4718.924687,90.39875,0.02825,1108.825,0.346508,105.130605,1.043998,7.041029,0.009492,0.588528,4.022834,0.002554,1171.801689,0.002103,700.218312,0.005728,4594.852049,97.771974,0.030582,1162.413825,0.363595,95.99452,0.889591,6.838988,0.010672
3,4,5,0.391222,7.765401,0.001939,1259.27036,0.001105,471.399038,0.011002,10138.265211,273.748045,0.026106,2508.992943,0.239271,114.674861,1.81638,7.640044,0.006345,0.348438,9.388868,0.002003,1192.988944,0.001017,398.543409,0.013616,11702.662791,283.749905,0.027044,2265.227602,0.2159,107.420853,2.26182,7.753419,0.005902,0.45965,6.173535,0.002708,1157.206999,0.001908,538.629863,0.009625,7128.426045,298.522708,0.028542,2883.975237,0.275741,100.904173,1.455929,7.373297,0.007635,0.563942,4.601532,0.002259,1148.12561,0.001542,659.64119,0.007113,5140.303303,300.974533,0.028815,3538.442221,0.338769,99.469619,1.109339,7.080117,0.009227,0.596108,3.968657,0.002302,1152.46813,0.001837,703.486735,0.005543,4423.812518,309.864373,0.0297,3834.291096,0.367516,96.993651,0.881534,6.895329,0.010302,0.545809,4.848261,0.002277,1152.983715,0.001536,641.147682,0.007408,5462.020021,304.909187,0.029209,3390.30319,0.324773,99.997068,1.161817,7.11803,0.009029,0.601123,3.906529,0.002733,1150.442239,0.00227,712.039619,0.005954,4301.742402,311.31368,0.029845,3879.709616,0.37194,95.378993,0.865215,6.871141,0.010508,0.553804,4.580991,0.002523,1150.532129,0.0019,651.487501,0.006939,5096.906387,294.057755,0.028118,3514.000574,0.336011,104.240378,1.065635,7.105213,0.00901,0.583798,4.037754,0.002062,1171.95276,0.001586,696.981729,0.005383,4586.818992,304.021081,0.029132,3769.037562,0.361157,99.139191,0.88165,6.920461,0.010056
4,5,6,0.316342,11.745692,0.003693,1204.268354,0.002248,330.767541,0.01771,16152.62122,920.522628,0.030859,5677.370499,0.190324,101.21128,3.034982,7.784853,0.005823,0.275541,14.145107,0.003562,1177.350353,0.001878,274.865697,0.022221,19313.876302,916.767012,0.030716,5133.09341,0.17198,100.097975,3.640836,7.921771,0.005316,0.408032,7.813715,0.001966,1130.630225,0.001144,483.349071,0.010373,8439.453841,952.156916,0.032069,7145.502644,0.240662,88.36975,1.956861,7.459026,0.007372,0.517595,5.541709,0.00195,1144.890957,0.001272,611.38201,0.00737,6070.524445,957.973768,0.032301,8953.957718,0.301907,85.489206,1.411733,7.111299,0.009141,0.552546,4.725113,0.002478,1148.190382,0.001931,655.72199,0.006603,5196.317258,981.093693,0.033018,9814.565794,0.330301,86.433795,1.124647,6.917527,0.010265,0.500503,5.877659,0.002408,1139.012164,0.00169,587.188747,0.008451,6458.001982,986.665132,0.033153,8645.035079,0.290482,84.520697,1.506959,7.121423,0.009066,0.557013,4.777037,0.002317,1142.414469,0.001784,655.611209,0.006498,5207.312586,959.548516,0.032318,9854.090499,0.331888,87.555257,1.174188,6.953591,0.010032,0.515604,5.400767,0.002298,1140.136908,0.001629,602.573082,0.00766,5942.498184,927.983114,0.031216,9046.130786,0.304297,89.638274,1.332936,7.128773,0.008986,0.554991,4.731131,0.002461,1147.504473,0.00193,656.532143,0.006566,5217.578468,942.23806,0.031691,9839.793085,0.33095,89.576995,1.135534,6.972971,0.009875
5,6,7,0.323739,11.356948,0.002009,1111.189309,0.000881,345.616907,0.016565,13605.045619,490.421348,0.02725,3498.362672,0.194386,115.433885,2.939954,7.93522,0.005327,0.286411,13.01411,0.001947,1094.321927,0.000684,304.940995,0.020326,15142.890895,490.28304,0.027236,3294.820343,0.183035,117.82279,3.352412,8.044646,0.004975,0.395355,8.216468,0.003118,1188.280218,0.001766,475.856457,0.015745,9472.667097,552.475511,0.031031,4138.250843,0.232434,96.791379,2.0588,7.551156,0.006962,0.541838,4.92963,0.002237,1146.450168,0.001635,642.01683,0.006868,5397.175309,544.932548,0.03058,5738.743771,0.322039,92.773795,1.191418,7.073589,0.009278,0.581264,4.313651,0.002135,1151.339807,0.001638,687.019192,0.005761,4819.464751,546.113606,0.030653,6289.3837,0.353019,92.826584,1.018619,6.919937,0.010173,0.519524,5.683796,0.002739,1143.563083,0.001759,617.117353,0.009543,6175.952716,567.425166,0.031903,5367.477342,0.301781,92.576385,1.508752,7.152688,0.00895,0.579968,4.308668,0.002456,1152.209971,0.001775,684.622176,0.007152,4801.906468,555.54525,0.031189,6287.682461,0.353003,91.759193,1.012972,6.913364,0.010364,0.538444,4.865794,0.002308,1155.080199,0.001638,638.165626,0.007201,5405.982035,521.373629,0.029179,5781.068726,0.323543,99.2776,1.152817,7.119404,0.009002,0.575935,4.38652,0.002167,1158.589277,0.00165,688.036109,0.005952,4879.667432,533.47801,0.029888,6227.778195,0.348915,96.323817,1.038988,6.975449,0.009851
6,7,8,0.292178,12.294679,0.003732,1168.02074,0.001029,306.639316,0.06112,16105.941956,1813.015208,0.028251,11994.638239,0.186905,109.000285,3.04654,7.946971,0.005311,0.236292,16.255435,0.003087,1172.579234,0.001092,239.43256,0.033121,21990.633844,1823.531158,0.028501,10429.665885,0.163012,105.984756,4.089371,8.125545,0.004691,0.417381,7.216596,0.002293,1159.104361,0.001349,496.416972,0.010879,8110.68949,1865.024941,0.029255,15938.561098,0.250017,99.427743,1.716081,7.522686,0.007029,0.501539,5.624465,0.002428,1149.497578,0.001618,595.674398,0.008691,6184.54001,1915.810455,0.03013,18742.872169,0.294773,96.283579,1.376266,7.25165,0.008363,0.551745,4.757371,0.00216,1148.633914,0.001569,653.985157,0.006543,5251.112621,2000.197776,0.031501,20964.029262,0.330163,90.77509,1.143204,7.008809,0.009738,0.495132,5.85848,0.002224,1143.750154,0.001443,584.593067,0.00847,6423.340394,1978.660409,0.031186,18355.076158,0.289298,91.744899,1.472391,7.236952,0.008467,0.552177,4.691719,0.002454,1151.243049,0.001848,653.334904,0.006863,5200.823711,1976.442006,0.031134,20982.231235,0.330528,92.056945,1.103409,7.01855,0.009667,0.533797,4.973627,0.002349,1154.56525,0.001588,634.389539,0.007694,5524.855293,1878.790176,0.029494,20337.922121,0.319272,98.318822,1.188369,7.150873,0.008905,0.559078,4.513748,0.002354,1148.565515,0.001778,660.61465,0.006467,4979.274762,1965.37787,0.030934,21505.490155,0.338483,93.002387,1.043138,6.98063,0.009882
7,8,9,0.297372,14.837827,0.001812,1448.485599,0.000635,354.589353,0.017102,29543.071086,556.216577,0.02225,4400.561565,0.176037,170.353022,4.512549,8.194285,0.004274,0.249637,18.184495,0.001532,1539.00348,0.000405,315.351151,0.020317,38448.50504,563.082807,0.022525,3971.00336,0.158853,170.764155,5.450121,8.320984,0.003951,0.420574,8.290151,0.002317,1157.372066,0.001412,507.013932,0.01195,9131.629951,735.33855,0.029658,5954.60442,0.240163,100.78123,2.330125,7.600803,0.006691,0.473274,7.132791,0.002361,1117.680911,0.001625,546.52272,0.009425,7633.698801,889.278837,0.036157,6559.934255,0.266718,77.657092,2.052299,7.148891,0.008889,0.543705,5.307299,0.002412,1147.962268,0.001883,645.362921,0.006998,5814.813493,826.651355,0.033575,7791.458633,0.316456,87.73662,1.404022,6.996949,0.009834,0.488825,6.315065,0.00207,1138.531963,0.001444,575.236945,0.007951,6896.163477,851.148208,0.034656,6855.865309,0.279148,81.718166,1.67083,7.136732,0.009017,0.550882,4.943527,0.002505,1143.656538,0.001921,651.349848,0.007061,5410.500629,804.106901,0.032622,8026.180251,0.325619,89.384697,1.236703,6.979606,0.009915,0.515722,5.709921,0.002057,1149.215837,0.00144,609.655537,0.007344,6315.721835,778.934754,0.031566,7437.27241,0.301397,91.653629,1.513699,7.152175,0.008893,0.546029,5.204844,0.002403,1145.560181,0.001846,646.845121,0.007041,5685.23538,790.069658,0.031997,7939.256682,0.321532,92.25119,1.377886,7.026393,0.00956
8,9,10,0.356911,10.367755,0.002723,1399.685868,0.001822,417.193454,0.011672,17619.493266,806.51679,0.02866,5776.642443,0.205275,113.660277,2.783496,7.715246,0.006001,0.329325,11.530842,0.002986,1410.764606,0.001819,380.148017,0.013939,20027.590542,773.090896,0.027407,5492.862096,0.194727,119.008432,3.112451,7.831666,0.005528,0.399444,8.36103,0.002114,1122.864152,0.001126,476.284516,0.012782,8799.261939,846.443908,0.030031,6486.176825,0.230121,98.830093,2.134955,7.606463,0.006562,0.524336,5.374631,0.002294,1143.664097,0.001626,620.235571,0.007547,5878.894795,887.198046,0.031522,8645.184047,0.307166,90.632196,1.355707,7.116915,0.00909,0.553758,4.888188,0.001906,1139.865598,0.001396,646.549811,0.00601,5404.989631,937.403777,0.033401,9228.423267,0.328823,81.999534,1.224166,6.923341,0.010269,0.523098,5.393257,0.002137,1146.706213,0.001503,618.835887,0.007268,5930.899605,877.944557,0.031222,8612.732921,0.306296,90.589126,1.358901,7.127001,0.008979,0.554205,4.785727,0.002525,1146.676811,0.001852,653.793035,0.007227,5290.567966,898.615804,0.031985,9267.078804,0.329848,87.84907,1.164289,6.972983,0.00993,0.529518,5.137574,0.002399,1149.549199,0.001699,625.485056,0.007676,5676.02816,837.175333,0.029653,8840.498229,0.313138,96.623478,1.24928,7.158753,0.008815,0.563204,4.505361,0.002371,1157.720053,0.001771,669.67464,0.00655,5016.412732,859.913797,0.03053,9570.772492,0.339799,93.020715,1.051934,6.977523,0.009804
9,10,11,0.276676,14.662501,0.003639,1161.769046,0.001785,283.681693,0.024388,19025.05895,2710.791161,0.032922,13720.410306,0.166629,97.316709,3.816405,7.911834,0.005375,0.235632,18.394895,0.003519,1171.019386,0.001566,233.944455,0.029239,24652.072981,2637.087005,0.031991,12233.946526,0.148413,99.476902,4.861222,8.090427,0.004748,0.388114,9.071294,0.002009,1145.435297,0.001169,467.799033,0.011357,9783.831095,3067.519847,0.037512,18050.396605,0.220735,77.614601,2.40081,7.40756,0.007766,0.506493,5.65924,0.002039,1140.594493,0.001392,594.824742,0.007433,6192.829175,2703.928659,0.032957,24265.58406,0.295767,84.538986,1.419434,7.11011,0.009144,0.534473,5.07032,0.002015,1131.886978,0.00149,621.385605,0.006307,5547.91246,2850.944789,0.034793,25879.0371,0.315829,77.808609,1.230557,6.90782,0.010379,0.490576,5.97434,0.002029,1129.846139,0.001378,571.854321,0.007655,6499.386094,2788.963727,0.034062,23325.38425,0.284876,79.707493,1.501068,7.106429,0.009173,0.533117,5.251224,0.002199,1139.077859,0.001654,626.759693,0.006738,5757.084258,2817.409653,0.034409,25538.630846,0.311907,81.297945,1.321021,6.955941,0.010102,0.507382,5.456404,0.002175,1147.097827,0.001496,597.926244,0.00753,6036.76962,2536.340472,0.030861,24669.47631,0.300166,91.070055,1.320749,7.161736,0.008809,0.528928,5.147363,0.001991,1137.952773,0.001437,619.061771,0.00647,5648.283583,2745.104036,0.033465,25680.641834,0.313068,81.243526,1.253489,6.969731,0.009936
10,11,12,0.342899,11.641185,0.002529,1177.471387,0.001486,363.911848,0.01441,15665.432628,594.286128,0.031903,3602.96414,0.193417,91.908975,3.274471,7.720165,0.006101,0.309947,13.365421,0.00303,1175.606532,0.00193,318.643944,0.015921,18138.990347,590.100767,0.031646,3349.441894,0.179624,93.800917,3.770277,7.815088,0.005727,0.382467,10.279556,0.002728,1136.989007,0.001617,449.162718,0.015292,11219.273736,646.721737,0.034849,3893.217696,0.209786,84.871449,2.971096,7.579675,0.006763,0.4962,6.109639,0.002098,1144.265536,0.001388,590.768275,0.00817,6642.959989,634.707916,0.034179,5302.065805,0.285518,83.102458,1.61259,7.112857,0.009119,0.532578,5.354024,0.002018,1137.761077,0.001397,628.028589,0.006962,5828.897766,642.110956,0.034569,5754.675478,0.309808,81.894218,1.368869,6.950761,0.010032,0.487914,6.538951,0.00256,1137.862915,0.001759,573.066629,0.010222,7132.442436,653.517911,0.035257,5122.500863,0.276354,80.592222,1.787135,7.130326,0.009083,0.541654,5.246732,0.002665,1136.213429,0.002074,631.867123,0.007458,5709.433314,623.2477,0.033531,5900.836122,0.317471,86.878018,1.368246,6.990403,0.00986,0.487384,6.130725,0.002307,1142.767684,0.001651,569.817608,0.008156,6775.084713,608.722855,0.03272,5248.174371,0.282099,88.033481,1.574689,7.186442,0.008736,0.538852,5.080727,0.00242,1149.851768,0.001869,638.478404,0.006849,5614.137268,611.308825,0.032855,5932.044287,0.318824,86.144009,1.264737,6.983494,0.009871
11,12,14,0.377324,8.727436,0.002671,1145.661287,0.001307,432.601369,0.014981,10009.736202,136.100219,0.027117,1116.41582,0.222438,109.280595,2.134645,7.655217,0.006103,0.349157,9.56265,0.00291,1162.680567,0.001654,395.364212,0.016304,11267.757582,138.95012,0.027723,1063.463288,0.212183,106.49541,2.322556,7.715812,0.005929,0.378142,8.607008,0.002583,1166.007167,0.00119,445.153483,0.014464,9665.342624,134.04121,0.026685,1151.383038,0.229222,113.732615,2.156844,7.656115,0.006065,0.537308,4.971067,0.00275,1146.634117,0.002169,629.654662,0.007328,5521.159735,147.595941,0.029656,1581.981716,0.317858,97.431294,1.181212,7.093916,0.009005,0.594556,4.063881,0.001979,1172.724186,0.001503,715.289334,0.005412,4609.951989,146.925271,0.029515,1819.344315,0.365477,97.403336,0.931735,6.902515,0.010288,0.555749,4.580949,0.002641,1145.119071,0.001774,637.890981,0.008127,5158.160496,143.808085,0.028779,1683.262558,0.336855,99.877361,1.073105,7.056944,0.009382,0.607357,3.785457,0.001878,1162.855573,0.001422,719.98472,0.004994,4228.758889,140.995605,0.028165,1899.982421,0.379541,101.873958,0.825903,6.881061,0.010334,0.559035,4.566899,0.002741,1182.344766,0.001871,671.218118,0.008165,5205.204187,136.957328,0.02731,1688.121037,0.336614,109.289163,1.063322,7.118442,0.008843,0.595218,3.94989,0.002559,1148.725694,0.001939,709.654857,0.006478,4306.921741,139.569375,0.027864,1855.237173,0.370381,107.107736,0.878125,6.945409,0.009905
12,13,15,0.367422,10.824182,0.003611,1377.462471,0.00198,429.526718,0.018297,17495.489924,222.850175,0.032542,1387.80403,0.202658,111.098326,3.105068,7.619954,0.006528,0.366606,10.928811,0.00362,1639.515974,0.002226,507.37765,0.016616,21404.59256,198.406565,0.028943,1403.134792,0.204688,133.872203,3.213302,7.768937,0.00592,0.457585,6.396775,0.001827,1144.545111,0.001074,548.869611,0.00861,6961.652187,206.907889,0.030061,1871.690397,0.271929,100.06188,1.560354,7.344333,0.007853,0.527922,5.571887,0.002695,1146.539191,0.001789,634.511423,0.009094,6072.785579,218.775799,0.031933,2111.218362,0.308162,93.716198,1.496215,7.110466,0.009164,0.566298,4.823762,0.002647,1154.708315,0.002099,675.22595,0.006929,5301.929417,226.947684,0.033165,2300.510741,0.336185,89.458148,1.245179,6.909904,0.010358,0.533618,5.216358,0.002876,1146.557807,0.002162,629.855434,0.00833,5727.330515,216.511591,0.031566,2144.425281,0.312644,95.036066,1.301626,7.098821,0.00927,0.578631,4.385446,0.002515,1156.939915,0.001965,693.586561,0.006457,4813.147878,214.737203,0.031316,2410.304361,0.35151,94.951868,1.055366,6.896856,0.010518,0.55634,4.597848,0.002948,1163.012504,0.002205,658.69117,0.007779,5189.944751,207.465252,0.030164,2307.503053,0.33549,100.298005,1.079088,7.01928,0.009632,0.575703,4.247565,0.002676,1148.462567,0.002121,679.788676,0.006529,4682.655037,204.721471,0.02976,2431.486117,0.353465,100.600775,0.97146,6.940363,0.010001
